Unique name,superclass 1
pneumatic valve actuator,valve actuator
poppet valve,disc globe valve
pressure balanced plug valve,lubricated plug valve
pressure balanced tapered lubricated valve plug,tapered lubricated valve plug
pressure balanced tapered lubricated valve plug round port,pressure balanced tapered lubricated valve plug
pressure compensated adjustable flow control valve with bypass,adjustable choke valve
pressure energized valve seat,valve seat
pressure maintaining valve,self actuated pressure control valve
pressure reducing valve,self actuated pressure control valve
pressure regulator valve,valve
pressure relief valve,relief valve
pressure-vacuum relief valve,pressure relief valve
process isolation valve,valve
quarter turn valve,rotary valve
quick exhaust valve,valve
quick opening cage trim,cage trim
radiused disc,ball type globe valve disc
ram,physical object
reduced bore ball valve,ball valve
reduced bore check valve,swing check valve
reduced bore valve,valve
reduction valve,valve
reduction valve self acting,reduction valve
regular disc globe valve,disc globe valve
regular double disc rising stem gate valve,split wedge gate valve
relief valve,self operating valve
relief valve body,valve body
relief valve bonnet,valve bonnet
relief valve bonnet with cap,relief valve bonnet
relief valve bonnet with lever,relief valve bonnet
relief valve closure disc,valve closure disc
relief valve closure disc holder,valve closure disc holder
relief valve closure member,valve closure member
relief valve closure member assembly,relief valve closure member
relief valve converging nozzle,relief valve nozzle
relief valve full nozzle,relief valve nozzle
relief valve nozzle,valve nozzle
relief valve semi-nozzle,relief valve nozzle
remote operated valve,valve
renewable valve seat,valve seat
rising stem ball valve,ball valve
rising valve stem,rotating valve stem
rotary disc valve,parallel slide valve
rotary gate valve,gate valve
rotary star valve,valve
rotary star valve body,valve body
rotary star valve closure member,valve closure member
rotary valve,valve
rotating valve stem,valve stem
rubber lined butterfly valve,lined butterfly valve
rubber seated wedge gate valve,wedge gate valve
safety relief valve,relief valve
safety valve,pressure relief valve
sampling valve,valve
saunders diaphragm valve,diaphragm valve
screw down check valve,check valve
screwed body ball valve,ball valve
screwed valve bonnet,valve bonnet
screwed valve bonnet cap,valve bonnet cap
screwed valve gland,valve gland
sealed one piece ball valve,one piece ball valve
self acting control valve,control valve
self acting temperature control valve,self acting control valve
self actuated pressure control valve,self acting control valve
self operating valve,valve
shear ram,ram
single plate wafer check valve,wafer check valve
single plate wafer check valve long pattern,wafer check valve
single plate wafer check valve short pattern,wafer check valve
single seated valve,valve
slab gate valve,through conduit gate valve
slam shut valve,actuated valve
sleeve lined plug valve,non lubricated plug valve
slide gate valve,gate valve
slide valve,valve
slide valve body,valve body
slide valve closure member,valve closure member
soft seated ball valve,ball valve
soft seated wedge gate valve,wedge gate valve
solenoid valve,valve
solenoid valve body,valve body
solenoid valve closure member,valve closure member
solid wedge disc,wedge gate
solid wedge gate valve,wedge gate valve
solid wedge inside screw rising stem extended end gate valve,solid wedge inside screw rising stem gate valve
solid wedge inside screw rising stem flanged end gate valve,solid wedge inside screw rising stem gate valve
solid wedge inside screw rising stem gate valve,solid wedge gate valve
solid wedge inside screw rising stem threaded end gate valve,solid wedge inside screw rising stem gate valve
solid wedge inside screw rising stem welded bevelled end gate valve,solid wedge inside screw rising stem welded end gate valve
solid wedge inside screw rising stem welded end gate valve,solid wedge inside screw rising stem gate valve
solid wedge inside screw rising stem welded plain end gate valve,solid wedge inside screw rising stem welded end gate valve
solid wedge outside screw and yoke rising stem butt welding end gate valve,solid wedge outside screw and yoke rising stem gate valve
solid wedge outside screw and yoke rising stem extended end gate valve,solid wedge outside screw and yoke rising stem gate valve
solid wedge outside screw and yoke rising stem flanged end gate valve,solid wedge outside screw and yoke rising stem gate valve
solid wedge outside screw and yoke rising stem gate valve,solid wedge gate valve
solid wedge outside screw and yoke rising stem threaded end gate valve,solid wedge outside screw and yoke rising stem gate valve
spherical disc,ball type globe valve disc
spiral sock valve,membrane valve
split ball valve body,ball valve body
split body ball valve,ball valve
split wedge gate valve,wedge gate valve
spring controlled valve actuator,valve actuator
spring-loaded constant downstream pressure valve,self actuated pressure control valve
sprinkler control valve,valve
squeeze valve,membrane valve
steel valve,valve
stem connector,physical object
stem enclosure,physical object
stem journal,feature
stop check valve,lift check valve
straight through pressure relief valve,relief valve
straight valve body,valve body
straightway valve,valve
subsea choke valve,choke valve
swing check valve,check valve
swing check valve with outside lever and weight attachment,swing check valve
swing type disc,check valve closure member
swivelling flat disc,globe valve closure member
swivelling globe valve plug,globe valve plug
swivelling needle,valve needle
tank valve,valve
tapered lubricated valve plug,tapered valve plug
tapered valve plug,plug valve closure member
tapered wedge valve plug,tapered valve plug
three piece ball valve,split body ball valve
three port valve,multiport valve
three way ball valve,ball valve
three way control valve,control valve
three way plug valve,three way valve
three way valve,multi way valve
through conduit gate valve,parallel gate valve
tight shut off valve,valve
tilting disc check valve,swing check valve
top entry ball valve,one piece ball valve
top entry ball valve body,one piece ball valve body
trunnion ball valve,ball valve
trunnion mounted ball closure member,ball valve closure member
trunnion mounted full bore ball closure member,trunnion mounted ball closure member
trunnion mounted reduced bore ball closure member,trunnion mounted ball closure member
two piece ball valve,split body ball valve
two way ball valve,ball valve
two way valve,multi way valve
uni-directional valve,valve
v ball valve,ball valve
vacuum relief valve,relief valve
vacuum safety valve,self acting control valve
valve,fluid regulator
valve actuator,actuator
valve actuator housing,housing
valve adjustment ring,physical object
valve back seat,physical object
valve body,housing
valve body flanged end,valve body
valve body gasket,gasket
valve body inlay,coating
valve body raised face flanged end,valve body flanged end
valve body threaded end,valve body
valve body welding end,valve body
valve body-bonnet bolt,bolt
valve bonnet,physical object
valve bonnet cap,cap
valve bonnet gasket,gasket
valve bonnet lever,physical object
valve closure disc,disc
valve closure disc holder,physical object
valve closure member,physical object
valve component,component
valve cover,physical object
valve disc,valve closure member
valve drain plug,drain plug
valve extension stem,valve stem
valve gear,gear box
valve gear stem,physical object
valve gland,gland
valve gland packing,valve stem seal
valve needle,globe valve closure member
valve nozzle,flow nozzle
"valve nozzle, externally threaded",valve nozzle
valve operating device,physical object
valve orifice,feature
valve packing nut,nut
valve seat,physical object
valve seat holder,physical object
valve seat housing,housing
valve seat insert,physical object
valve seat ring,physical object
valve stem,physical object
valve stem seal,shaft seal
valve that remains in position at loss of air supply,valve
valve that remains in position in failure mode,valve
valve with automatic actuator element,valve
valve with automatic actuator fail close,valve with automatic actuator element
valve with automatic actuator fail open,valve with automatic actuator element
valve wrench,wrench
valve yoke,physical object
vent valve,valve
vented valve bonnet,valve bonnet
wafer check valve,wafer pattern valve
wafer check valve body,check valve body
wafer check valve disc,check valve closure member
wafer pattern valve,valve
wedge gate,gate valve closure member
wedge gate butt welding end body,wedge gate valve body
wedge gate extended end body,wedge gate valve body
wedge gate flanged end body,wedge gate valve body
wedge gate threaded end body,wedge gate valve body
wedge gate valve,gate valve
wedge gate valve body,gate valve body
weight operated relief valve,relief valve
weight-loaded valve,valve
welded valve bonnet,valve bonnet
welding end valve body,valve body
wet pipe sprinkler valve set,fluid regulator
yarway relief valve,relief valve
y-globe valve,globe valve
yoke-type valve bonnet,valve bonnet
y-pattern valve,valve
y-pattern valve body,valve body
