Unique name,superclass 1
orifice handle,handle
orifice meter run,orifice plate flow meter
orifice meter tube,physical object
orifice plate,physical object
orifice plate fitting,physical object
orifice plate flow meter,differential pressure flow meter
orifice plate flowmeter assembly,physical object
orifice plate for assembeled paddle orifice plates,orifice plate
orifice plate holder,physical object
orifice plate holder with hold-down screws,orifice plate holder
orifice plate holder with integral plate seal,orifice plate holder
orifice plate holder with snap-ring clip,orifice plate holder
orifice plate seal,seal ring
oscillating piston flow meter,positive displacement flow meter
oscillograph,recording instrument
output circuit board,input - output circuit board
oxygen content analyser,analysing instrument
paddle orifice plate,orifice plate
paddle wheel flow meter,positive displacement flow meter
panel antenna,antenna
panel mounted instrument,process instrument
panel mounting bracket,instrument mounting bracket
parabolic reflector antenna,antenna
parametric oxygen analyser,gas analyser
part-turn actuator,actuator
pen recorder,recording instrument
permanent-magnetic moving-coil instrument,induction instrument
personal computer,computer
ph analyser,analysing instrument
phase sequence indicator,indicating instrument
photoelectric transducer,transducer
pig detector,detector
pig indicator,indicating instrument
pilot air operated solenoid actuator,solenoid actuator
pilot operated regulator,pressure regulator
pipe mounting bracket,instrument mounting bracket
piston actuator,actuator
pitot tube,flow sensor
pitot tube flow meter,differential pressure flow meter
pna-meter,analysing instrument
pneumatic actuator,actuator
pneumatic amplifier,amplifier
pneumatic controller,mechanical controller
pneumatic density analyser,density analyser
pneumatic diaphragm actuator,pneumatic actuator
pneumatic differential pressure transmitter,differential pressure transmitter
pneumatic flow controller,pneumatic controller
pneumatic flow transmitter,flow transmitter
pneumatic indicator,detecting instrument
pneumatic level controller,pneumatic controller
pneumatic level transmitter,level transmitter
pneumatic piston actuator,pneumatic actuator
pneumatic position transmitter,position transmitter
pneumatic pressure controller,pneumatic controller
pneumatic pressure transmitter,pressure transmitter
pneumatic relay,relay
pneumatic speed transmitter,speed transmitter
pneumatic temperature controller,pneumatic controller
pneumatic temperature transmitter,temperature transmitter
pointer instrument,indicating instrument
polarity indicator,indicating instrument
position detector,detector
position indicator,indicating instrument
position transducer,transducer
position transmitter,transmitter
positive displacement flow meter,flow meter
positive displacement flow meter body,in-line instrument body
positive displacement flow transmitter,flow transmitter
positive resistance temperature element,resistance temperature element
pour point analyser,analysing instrument
power supply,physical object
power supply card,power supply unit
pressure controller,controller
pressure element,detecting element
pressure gauge,gauge
pressure indicator,indicating instrument
pressure meter,detecting instrument
pressure regulator,regulator
pressure sensor body,instrument body
pressure sensor module,physical object
pressure switch,functional switch
pressure to current converter,signal converter
pressure to voltage converter,signal converter
pressure transmitter,transmitter
printing machine,physical object
printing recorder,recording instrument
probe,detecting element
probe housing,instrument housing
process connection fill fluid,fill fluid
process connector,connector
process control system,control system
process instrument,physical object
programmable logic controller,controller
proximity probe,detecting element
proximity switch,position switch
pt100 temperature element,resistance temperature element
pt100 temperature transmitter,electrical temperature transmitter
pulse counter,counter
push button,manual control switch
quarter circle orifice hole,hole
quarter circle orifice plate,orifice plate
quarter-circle concentric orifice plate,concentric hole orifice plate
radar level transmitter,level transmitter
radar type tank level gauge,tank gauge
radial probe,detecting element
radioactive level transmitter,level transmitter
radioactive switch,pilot switch
rail mounted temperature transmitters,electrical temperature transmitter
receiver card,interface card
recording controller,recording instrument
recording instrument,process instrument
rectangular venturi,venturi
refractive index analyser,analysing instrument
regulator,physical object
relative density gas analyser,density analyser
relay card,electronic circuit board
relayed speed governor,speed governor
remote-operated control unit,process control system
resistance temperature element,temperature sensing element
resistance temperature indicator,temperature indicator
resistance to current converter,signal converter
restriction orifice plate,orifice plate
return actuator,actuator
reverse buckling rupture disc,rupture disc
rotameter flow meter,variable area flow meter
rotational speed sensor,detecting element
rupture disc,physical object
rupture disc assembly,physical object
rupture disc gasket,gasket
rupture disc handle,handle
rupture disc holder,physical object
rupture disc holder ring,physical object
salinity sensor,detecting element
salinometer,detecting instrument
sampler,physical object
sampling tube,sampler
sand detection probe,detecting element
sand detector,detector
screwed thermowell,thermowell
segmental orifice hole,hole
segmental orifice plate,orifice plate
segmental orifice plate for dirty gas,segmental orifice plate
segmental orifice plate for dirty liquid,segmental orifice plate
segmental wedge flow meter,differential pressure flow meter
seismic probe,detecting element
servo tank gauge,tank gauge
sight flow indicator,indicating instrument
sight glass,physical object
signal converter,electric signal transducer
signal receiver,physical object
single acting actuator,actuator
single acting hydraulic piston actuator,hydraulic piston actuator
single acting pneumatic diaphragm actuator,pneumatic diaphragm actuator
single acting pneumatic piston actuator,pneumatic piston actuator
single chamber orifice fitting,orifice plate fitting
single pen recorder,pen recorder
single solenoid actuator,solenoid actuator
sliding vane,flow meter rotor
slotted lined rupture disc,rupture disc
smoke detector,detector
socket weld thermowell,thermowell
solenoid actuator,actuator
solid electrolyte oxygen analyser,oxygen content analyser
solid forged flanged thermowell,flanged thermowell
span adjustment device,physical object
speed changer,physical object
speed governor,controller
speed meter,detecting instrument
speed transmitter,transmitter
spm-nipple,physical object
spot recorder,recording instrument
sprenkle conditioner,flow straightener
spring return actuator,actuator
square edged orifice hole,hole
square root temperature indicator,temperature indicator
square-edged concentric orifice plate,concentric hole orifice plate
stepped stem thermowell,thermowell
stepped thermowell stem,thermowell stem
straight stem thermowell,thermowell
straight thermowell stem,thermowell stem
strain gauge level transmitter,level transmitter
sulphur analyser,analysing instrument
sulphur in gas analyser,sulphur analyser
sulphur in oil analyser,sulphur analyser
surface mounted gas detector,gas detector
swirl flow meter,velocity flow meter
synchronoscope,detecting instrument
tachometer,detecting instrument
tank gauge,gauge
tapered stem thermowell,thermowell
tapered thermowell stem,thermowell stem
target flow meter,flow meter
television receiver,signal receiver
temperature channel,monitor channel
temperature controller,controller
temperature gauge,gauge
temperature indicator,indicating instrument
temperature indicator housing,indicator housing
temperature indicator scale,indicator scale
temperature meter,detecting instrument
temperature regulator,regulator
temperature sensing element,detecting element
temperature switch,functional switch
temperature transmitter,transmitter
thermal conductivity analyser,analysing instrument
thermal conductivity gas analyser,thermal conductivity analyser
thermal element bulb,physical object
thermal element sheath,physical object
thermal mass flow meter,mass flow meter
thermal recorder,recording instrument
thermal velocity flow meter,velocity flow meter
thermocouple,temperature sensing element
thermocouple transmitter,electrical temperature transmitter
thermometer,detecting instrument
thermowell,physical object
thermowell process connection,instrument process connection
thermowell stem,physical object
threaded rupture disc holder,rupture disc holder
time of flight ultrasonic flow meter,ultrasonic flow meter
timepiece,indicating instrument
timer,timepiece
toc analyser,analysing instrument
transceiver,physical object
transducer,physical object
transmitter,physical object
transmitter electronic circuit,physical object
transmitter housing,enclosure
transmitter housing assembly,physical object
transponder,transceiver
travel indicator,detecting instrument
travel stop,position switch
trend recorder,recording instrument
tube bundle conditioner,flow straightener
turbidimeter,detecting instrument
